"Depa","Prov","habil","casti","gas","sis","acsedu"
"APURIMAC","ABANCAY",82538,43244,24149,69823,64863
"HUANCAVELICA","ACOBAMBA",33498,19060,3417,33668,23543
"CUSCO","ACOMAYO",19229,12645,2757,19065,13580
"ANCASH","AIJA",5817,2325,478,4542,4168
"LORETO","ALTO AMAZONAS",90033,37196,13622,94397,70090
"HUANUCO","AMBO",43046,19053,7303,38418,33119
"APURIMAC","ANDAHUAYLAS",113295,65475,16340,109382,85779
"HUANCAVELICA","ANGARAES",37599,22351,4076,37111,28181
"CUSCO","ANTA",48975,31243,7704,40044,35843
"APURIMAC","ANTABAMBA",9274,4797,1486,8971,7485
"AREQUIPA","AREQUIPA",901611,433994,305020,234872,676591
"LA LIBERTAD","ASCOPE",94654,27260,27273,41030,78113
"ANCASH","ASUNCION",5968,2860,787,5337,4714
"UCAYALI","ATALAYA",37838,8287,3814,34792,27694
"PIURA","AYABACA",98436,37307,8635,98251,71310
"APURIMAC","AYMARAES",21331,11122,4173,19330,16462
"PUNO","AZANGARO",98243,75730,15275,80683,70341
"AMAZONAS","BAGUA",62110,25980,9917,54088,45109
"LIMA","BARRANCA",116953,36411,36278,71313,93793
"SAN MARTIN","BELLAVISTA",41349,17096,7404,42126,34498
"LA LIBERTAD","BOLIVAR",11373,3522,775,11233,8543
"ANCASH","BOLOGNESI",18779,7690,2408,15559,15911
"AMAZONAS","BONGARA",20917,8374,4659,18057,16832
"CAJAMARCA","CAJABAMBA",57201,18407,6724,56918,47223
"CAJAMARCA","CAJAMARCA",273272,114306,55831,178141,210395
"LIMA","CAJATAMBO",5620,1437,609,4654,4340
"CUSCO","CALCA",54375,33987,8488,46196,39305
"CALLAO","CALLAO",824496,198503,231363,312949,641029
"AREQUIPA","CAMANA",48565,20623,16702,22004,39934
"CUSCO","CANAS",29976,20979,2211,27962,19916
"CUSCO","CANCHIS",80435,54914,18212,60556,57490
"TACNA","CANDARAVE",5893,3725,708,3629,4617
"AYACUCHO","CANGALLO",25505,14901,3793,26679,19310
"LIMA","CANTA",11546,4398,2615,6882,8045
"LIMA","CAÑETE",180820,7228,59624,102487,151070
"PUNO","CARABAYA",45084,29851,8844,48274,46799
"AREQUIPA","CARAVELI",26213,8422,10537,17382,28830
"ANCASH","CARHUAZ",38672,18781,3614,36131,29848
"ANCASH","CARLOS FERMIN FITZCARRALD",14010,6462,859,15101,10847
"ANCASH","CASMA",37445,11328,10021,27818,33537
"AREQUIPA","CASTILLA",25959,12800,7942,14549,22825
"HUANCAVELICA","CASTROVIRREYNA",15346,6194,1605,11017,8865
"AREQUIPA","CAYLLOMA",74641,46879,23328,37063,56941
"CAJAMARCA","CELENDIN",67577,31762,6299,63004,48896
"AMAZONAS","CHACHAPOYAS",40752,15671,10641,32860,34193
"JUNIN","CHANCHAMAYO",125327,43805,27129,81939,97105
"LA LIBERTAD","CHEPEN",66588,20163,17608,39774,52101
"LAMBAYEQUE","CHICLAYO",669481,191094,188870,317595,513288
"ICA","CHINCHA",169636,60889,46211,57815,141036
"APURIMAC","CHINCHEROS",35242,19791,3157,37927,27612
"CAJAMARCA","CHOTA",121394,66988,13889,110990,92305
"PUNO","CHUCUITO",60004,42898,14034,53647,63478
"CUSCO","CHUMBIVILCAS",56496,37205,6727,54137,41080
"JUNIN","CHUPACA",48231,23896,9880,24085,33635
"HUANCAVELICA","CHURCAMPA",27226,13783,2133,27486,19750
"JUNIN","CONCEPCION",47839,18344,7842,31107,35221
"AREQUIPA","CONDESUYOS",11940,5918,3111,7398,11666
"AMAZONAS","CONDORCANQUI",38273,14024,1536,33802,22307
"TUMBES","CONTRALMIRANTE VILLAR",15341,3159,4756,12402,13434
"CAJAMARCA","CONTUMAZA",21730,8516,3081,20580,18839
