Dep;Prov;casti;gas;sis;acsedu;habil
Amazonas;Chachapoyas;25980;10641;3286;18668;62110
Amazonas;Bagua;8374;9917;54088;24452;20917
Amazonas;Bongara;15671;4659;18057;7536;40752
Amazonas;Condorcanqui;14024;1536;33802;16281;38273
Amazonas;Luya;12606;6339;36541;13777;35017
Amazonas;Rodriguez de Mendoza;7967;3781;20815;8693;22886
Amazonas;Utcubamba;36540;16078;80664;34334;86231
Ancash;Huaraz;2325;30307;90834;55893;5817
Ancash;Aija;5056;478;4542;1871;10921
Ancash;Antonio Raymondi;2860;776;11048;4966;5968
Ancash;Asuncion;7690;787;5337;2332;18779
Ancash;Bolognesi;18781;2408;15559;6845;38672
Ancash;Carhuaz;6462;3614;36131;13162;1401
Ancash;Carlos Fermin Fitzcarrald;11328;859;15101;5984;37445
Ancash;Casma;2174;10021;27818;14738;5688
Ancash;Corongo;58628;510;5256;207;12936
Ancash;Huari;27357;3527;44572;17933;56793
Ancash;Huarmey;7621;735;1569;8537;23652
Ancash;Huaylas;13625;5599;38996;1577;42646
Ancash;Mariscal Luzuriaga;8383;560;17682;7044;16100
Ancash;Ocros;1642;653;4524;1719;5468
Ancash;Pallasca;7451;802;19206;7719;17769
Ancash;Pomabamba;9061;1072;20664;8941;18893
Ancash;Recuay;7790;1838;12173;4964;16039
Ancash;Santa;119916;111257;173084;135383;356727
Ancash;Sihuas;9602;1235;2321;9085;21668
Ancash;Yungay;19705;479;40007;1529;43850
Apurimac;Abancay;43244;24149;69823;40032;82538
Apurimac;Andahuaylas;65475;1634;109382;49217;113295
Apurimac;Antabamba;4797;1486;8971;3355;9274
Apurimac;Aymaraes;11122;4173;1933;682;21331
Apurimac;Cotabambas;19791;5051;37343;16264;35242
Apurimac;Chincheros;20212;3157;37927;15136;36070
Apurimac;Grau;9703;2088;17853;6981;18250
Arequipa;Arequipa;433994;30502;234872;355316;901611
Arequipa;Camana;20623;16702;22004;1656;48565
Arequipa;Caraveli;8422;10537;17382;10447;26213
Arequipa;Castilla;12800;7942;14549;9277;25959
Arequipa;Caylloma;46879;23328;37063;2531;74641
Arequipa;Condesuyos;5918;3111;7398;378;11940
Arequipa;Islay;24149;14388;14175;14174;45429
Arequipa;La Union;5300;1785;9491;378;10910
Ayacucho;Huamanga;14901;54658;172717;107791;25505
Ayacucho;Cangallo;130495;3793;26679;9666;212392
Ayacucho;Huanca Sancos;4219;1488;6894;2717;7571
Ayacucho;Huanta;37717;13678;6998;31086;70009
Ayacucho;La Mar;31155;8378;59363;22634;57117
Ayacucho;Lucanas;15932;7784;36246;14563;35663
Ayacucho;Parinacochas;8985;4748;19605;8822;18008
Ayacucho;Paucar del Sara Sara;3051;1565;6759;2743;6659
Ayacucho;Sucre;3425;1228;7324;293;7708
Ayacucho;Victor Fajardo;8745;2561;15241;5673;16777
Ayacucho;Vilcas Huaman;8199;1528;14369;465;15873
Cajamarca;Cajamarca;18407;55831;178141;118936;57201
Cajamarca;Cajabamba;114306;6724;56918;23799;273272
Cajamarca;Celendin;31762;6299;63004;26112;67577
Cajamarca;Chota;66988;13889;11099;43812;121394
Cajamarca;Contumaza;8516;3081;2058;7533;21730
Cajamarca;Cutervo;42346;11372;104181;38612;98205
Cajamarca;Hualgayoc;41949;5871;57657;22164;71739
Cajamarca;Jaen;7276;32703;126175;59985;158905
Cajamarca;San Ignacio;53076;13614;106271;43852;103195
Cajamarca;San Marcos;17596;4825;39033;14241;39727
Cajamarca;San Miguel;18354;3463;38181;12128;39653
Cajamarca;San Pablo;9781;1431;17931;6346;18527
Cajamarca;Santa Cruz;13949;2876;29075;10714;32122
Callao;Provincia Constitucional del Callao;12645;231363;312949;308116;19229
Cusco;Cusco;31243;11556;143128;160576;48975
Cusco;Acomayo;33987;2757;19065;8366;54375
Cusco;Anta;20979;7704;40044;17459;29976
Cusco;Calca;54914;8488;46196;20669;80435
Cusco;Canas;37205;2211;27962;11158;56496
Cusco;Canchis;188294;18212;60556;33937;356439
Cusco;Chumbivilcas;31461;6727;54137;22371;45665
Cusco;Espinar;80604;10593;32449;1842;150555
Cusco;La Convencion;14739;21308;93122;40365;24396
Cusco;Paruro;23356;2529;22122;7801;34593
Cusco;Paucartambo;45833;3481;36179;15301;69572
Cusco;Quispicanchi;35261;11125;66607;31034;54574
Cusco;Urubamba;198503;9165;32295;19084;824496
