Elect,Gobierno,Particip,Liciv
10,"9,64",10,"9,12"
10,"9,64","7,78","9,41"
10,"9,29","8,89","9,41"
10,"8,93","9,44","9,71"
10,"8,93","8,33","8,82"
10,"8,57","7,78","9,41"
10,"8,57","7,22","9,71"
10,"8,57","6,67","9,41"
10,"8,21","8,89","9,41"
10,"8,21","8,89","9,12"
10,"7,86","8,33","9,41"
"9,58","9,29","8,33","9,12"
"9,58","8,93","7,78","8,82"
"9,58","8,93","8,33","8,82"
"9,58","8,57","7,22","7,94"
"9,58","8,21","8,33","9,12"
"9,58","7,86","5,56","9,12"
"9,58","7,86","6,67","8,24"
"9,58","7,86",5,"8,24"
"9,58","7,86","7,22","5,29"
"9,58","7,5","8,33","8,82"
"9,58","7,5","7,78","8,24"
"9,58","7,5",10,"5,88"
"9,58","7,14","7,22","8,24"
"9,58","7,14","6,67","8,82"
"9,58","7,14","6,11","7,35"
"9,58","6,79","8,89","8,24"
"9,58","6,43","7,78","9,71"
"9,58","6,43","6,67","8,53"
"9,58","6,43","7,22","7,65"
"9,58","6,43","7,22","8,24"
"9,58","6,43","5,56","7,94"
"9,58","6,07","6,11","8,53"
"9,58","6,07","6,11","8,53"
"9,58","6,07","6,11","8,53"
"9,58","6,07","7,22","7,65"
"9,58","6,07","6,11","7,35"
"9,58","5,93","5,56","7,35"
"9,58","5,36","6,11","7,65"
"9,17","8,57","6,67","8,24"
"9,17","7,86","6,11","8,53"
"9,17",7,"6,67","8,53"
"9,17","6,79","6,67","8,53"
"9,17","6,79","5,56","8,24"
"9,17","6,43","8,89","8,53"
"9,17","6,07","6,67","6,47"
"9,17","6,07","6,11","6,76"
"9,17","6,07","6,11","7,06"
"9,17","5,71","6,11","7,65"
"9,17","5,36","7,22","8,53"
"9,17","5,36","7,22","7,06"
"9,17",5,"7,22","7,65"
"9,17",5,"7,78","6,76"
"9,17",5,"6,67","7,06"
"9,17","4,14","6,11","6,47"
"9,17","3,93","5,56","6,18"
"8,75","7,14",5,"8,53"
"8,75","6,79","3,33","4,71"
"8,75","5,71","6,11","5,88"
"8,75","5,36","5,56","7,06"
"8,75","5,36",5,"7,06"
"8,75",5,"6,11","6,18"
"8,75","3,93","4,44","5,88"
"8,67","7,5","7,22","6,18"
"8,33","6,43",5,"6,47"
"8,33","5,36","6,67","5,88"
"8,25","6,07","6,67","7,06"
"8,25","2,36","6,67","5,59"
"7,92","7,86","7,22","6,18"
"7,92","3,57","6,67","4,71"
"7,5","5,71","6,11",5
"7,5","4,64","7,22","5,59"
"7,5","3,64",5,"5,59"
"7,42","7,14","8,33","7,35"
"7,42","6,43","6,11","7,06"
"7,42","6,43","6,67","6,47"
"7,42","6,07","5,56","5,29"
"7,42","3,57","5,56","5,29"
"7,42","2,71","6,11","5,29"
7,"6,43","4,44","7,06"
7,"5,71","5,56","6,18"
7,"5,71","6,67","6,76"
7,"5,36","6,67","7,94"
7,5,"6,67","5,29"
7,"4,29",5,"6,18"
7,"3,29","5,56","5,59"
"6,92","6,07","5,56","7,06"
"6,92","6,07","3,89","7,35"
"6,92",5,"7,22","5,59"
"6,92","3,93","3,89","5,88"
"6,58",5,"5,56","5,29"
"6,58","2,86","3,89","5,29"
"5,67","5,71","4,44","5,59"
"5,67","5,36","3,33","4,71"
"5,25","4,64","5,56","4,12"
"5,25",0,"6,11","1,18"
"5,17","3,93","3,89","3,82"
"4,92",0,"3,33","2,35"
"4,83","8,21","4,44","6,18"
"4,83",5,5,"4,41"
"4,83",5,"4,44","5,29"
"4,75","4,29","6,11","5,59"
"4,33","2,86","4,44","3,82"
"4,33","1,5","4,44","4,71"
"3,58","4,29","4,44","4,12"
"3,58","3,93","4,44","3,24"
"3,5","5,36","6,67","4,12"
"3,5",5,"5,56","2,06"
"3,5","3,57","5,56","4,41"
"3,5","1,14","6,67","4,12"
"3,42","3,21","3,89",5
"3,33","0,14","8,33","3,53"
"3,08","2,5","4,44","3,82"
"3,08",0,"2,78","5,29"
3,"2,36",5,"3,82"
"2,75","3,64","5,56","8,53"
"2,67","3,93","3,89","3,24"
"2,58","1,43",5,"3,53"
"2,42",0,"5,56","3,82"
"2,17","1,86","4,44","3,53"
"2,08","2,21","4,44","3,53"
2,"1,14","3,89","4,71"
"1,75","2,14","4,44","4,12"
"1,67","5,36","3,89","4,41"
"1,5","4,29","3,33","3,53"
"1,42","4,29","2,78","2,65"
"1,33","3,21","3,33","1,76"
"1,33","2,86",5,"2,65"
"1,25","0,43","3,33","2,65"
"1,25",0,"1,67","2,35"
"0,92","2,86","2,78","3,24"
"0,92","1,79","3,33","2,94"
"0,75",0,"2,22","0,88"
"0,5","3,21",5,"2,94"
"0,5","2,5","2,78","2,65"
"0,42","3,21","6,11","1,76"
"0,42","2,71","3,33","1,76"
"0,33","2,14","3,89","2,06"
"0,08","3,93","2,78","3,82"
"0,08","1,86","2,78","0,88"
0,"4,29","2,22","2,35"
0,"4,29","2,78","0,88"
0,"3,57","2,22","1,47"
0,"3,21","3,89","1,76"
0,"3,21","3,33","2,65"
0,"2,86","3,89","2,35"
0,"2,86","1,67","0,59"
0,"2,5","3,89","3,24"
0,"2,5","4,44","3,24"
0,"2,5","3,33","3,24"
0,"2,5","3,89","1,47"
0,"2,5","1,67",0
0,"2,21","2,22","0,88"
0,"2,14","0,56","0,59"
0,2,"3,89","1,76"
0,"1,79","3,89","2,35"
0,"1,43","4,44","1,47"
0,"1,29","4,44","2,35"
0,"0,79","2,22","0,29"
0,"0,43","3,33","1,47"
0,"0,07",0,"0,29"
0,0,"3,89","1,76"
0,0,"3,33","2,65"
0,0,"3,89","0,88"
0,0,"2,22","2,35"
0,0,"2,78",0
0,0,"1,67","0,29"
