Elect,Gobierno,Particip,Liciv
1000,964,1000,912
1000,964,778,941
1000,929,889,941
1000,893,944,971
1000,893,833,882
1000,857,778,941
1000,857,722,971
1000,857,667,941
1000,821,889,941
1000,821,889,912
1000,786,833,941
958,929,833,912
958,893,778,882
958,893,833,882
958,857,722,794
958,821,833,912
958,786,556,912
958,786,667,824
958,786,5,824
958,786,722,529
958,75,833,882
958,75,778,824
958,75,1000,588
958,714,722,824
958,714,667,882
958,714,611,735
958,679,889,824
958,643,778,971
958,643,667,853
958,643,722,765
958,643,722,824
958,643,556,794
958,607,611,853
958,607,611,853
958,607,611,853
958,607,722,765
958,607,611,735
958,593,556,735
958,536,611,765
917,857,667,824
917,786,611,853
917,7,667,853
917,679,667,853
917,679,556,824
917,643,889,853
917,607,667,647
917,607,611,676
917,607,611,706
917,571,611,765
917,536,722,853
917,536,722,706
917,5,722,765
917,5,778,676
917,5,667,706
917,414,611,647
917,393,556,618
875,714,5,853
875,679,333,471
875,571,611,588
875,536,556,706
875,536,5,706
875,5,611,618
875,393,444,588
867,75,722,618
833,643,5,647
833,536,667,588
825,607,667,706
825,236,667,559
792,786,722,618
792,357,667,471
75,571,611,5
75,464,722,559
75,364,5,559
742,714,833,735
742,643,611,706
742,643,667,647
742,607,556,529
742,357,556,529
742,271,611,529
7,643,444,706
7,571,556,618
7,571,667,676
7,536,667,794
7,5,667,529
7,429,5,618
7,329,556,559
692,607,556,706
692,607,389,735
692,5,722,559
692,393,389,588
658,5,556,529
658,286,389,529
567,571,444,559
567,536,333,471
525,464,556,412
525,0,611,118
517,393,389,382
492,0,333,235
483,821,444,618
483,5,5,441
483,5,444,529
475,429,611,559
433,286,444,382
433,15,444,471
358,429,444,412
358,393,444,324
35,536,667,412
35,5,556,206
35,357,556,441
35,114,667,412
342,321,389,5
333,14,833,353
308,25,444,382
308,0,278,529
3,236,5,382
275,364,556,853
267,393,389,324
258,143,5,353
242,0,556,382
217,186,444,353
208,221,444,353
2,114,389,471
175,214,444,412
167,536,389,441
15,429,333,353
142,429,278,265
133,321,333,176
133,286,5,265
125,43,333,265
125,0,167,235
92,286,278,324
92,179,333,294
75,0,222,88
5,321,5,294
5,25,278,265
42,321,611,176
42,271,333,176
33,214,389,206
8,393,278,382
8,186,278,88
0,429,222,235
0,429,278,88
0,357,222,147
0,321,389,176
0,321,333,265
0,286,389,235
0,286,167,59
0,25,389,324
0,25,444,324
0,25,333,324
0,25,389,147
0,25,167,0
0,221,222,88
0,214,56,59
0,2,389,176
0,179,389,235
0,143,444,147
0,129,444,235
0,79,222,29
0,43,333,147
0,7,0,29
0,0,389,176
0,0,333,265
0,0,389,88
0,0,222,235
0,0,278,0
0,0,167,29
