Prov,gas,sis,acsedu
BAGUA,9917,54088,45109
BONGARA,4659,18057,16832
CHACHAPOYAS,10641,32860,34193
CONDORCANQUI,1536,33802,22307
LUYA,6339,36541,28215
RODRIGUEZ DE MENDOZA,3781,20815,19725
UCTUBAMBA,16078,80664,66932
AIJA,478,4542,4168
ANTONIO RAYMONDI,776,11048,7957
ASUNCION,787,5337,4714
BOLOGNESI,2408,15559,15911
CARHUAZ,3614,36131,29848
CARLOS FERMIN FITZCARRALD,859,15101,10847
CASMA,10021,27818,33537
CORONGO,510,5256,5110
HUARAZ,30307,90834,99726
HUARI,3527,44572,37921
HUARMEY,7350,15690,20447
HUAYLAS,5599,38996,32820
MARISCAL LUZURIAGA,560,17682,12234
OCROS,653,4524,4986
PALLASCA,802,19206,14506
POMABAMBA,1072,20664,14612
RECUAY,1838,12173,11434
SANTA,111257,173084,279888
SIHUAS,1235,23210,16401
YUNGAY,4790,40007,33013
ABANCAY,24149,69823,64863
ANDAHUAYLAS,16340,109382,85779
ANTABAMBA,1486,8971,7485
AYMARAES,4173,19330,16462
CHINCHEROS,3157,37927,27612
COTABAMBAS,5051,37343,31661
GRAU,2088,17853,13311
AREQUIPA,305020,234872,676591
CAMANA,16702,22004,39934
CARAVELI,10537,17382,28830
CASTILLA,7942,14549,22825
CAYLLOMA,23328,37063,56941
CONDESUYOS,3111,7398,11666
ISLAY,14388,14175,35686
LA UNION,1785,9491,8421
CANGALLO,3793,26679,19310
HUAMANGA,54658,172717,159395
HUANCA SANCOS,1488,6894,5367
HUANTA,13678,69980,53269
LA MAR,8378,59363,44101
LUCANAS,7784,36246,34518
PARINACOCHAS,4748,19605,17631
PAUCAR DEL SARA SARA,1565,6759,6438
SUCRE,1228,7324,6149
VICTOR FAJARDO,2561,15241,13637
VILCAS HUAMAN,1528,14369,11486
CAJABAMBA,6724,56918,47223
CAJAMARCA,55831,178141,210395
CELENDIN,6299,63004,48896
CHOTA,13889,110990,92305
CONTUMAZA,3081,20580,18839
CUTERVO,11372,104181,76398
HUALGAYOC,5871,57657,52335
JAEN,32703,126175,115545
SAN IGNACIO,13614,106271,78870
SAN MARCOS,4825,39033,31263
SAN MIGUEL,3463,38181,31898
SAN PABLO,1431,17931,13670
SANTA CRUZ,2876,29075,24736
ACOMAYO,2757,19065,13580
ANTA,7704,40044,35843
CALCA,8488,46196,39305
CANAS,2211,27962,19916
CANCHIS,18212,60556,57490
CHUMBIVILCAS,6727,54137,41080
CUSCO,115560,143128,265546
ESPINAR,10593,32449,36269
LA CONVENCION,21308,93122,100071
PARURO,2529,22122,16673
PAUCARTAMBO,3481,36179,24691
QUISPICANCHI,11125,66607,51555
URUBAMBA,9165,32295,38628
ACOBAMBA,3417,33668,23543
ANGARAES,4076,37111,28181
CASTROVIRREYNA,1605,11017,8865
CHURCAMPA,2133,27486,19750
HUANCAVELICA,17022,82426,66347
HUAYTARA,1808,13412,11825
TAYACAJA,6667,69662,50756
AMBO,7303,38418,33119
DOS DE MAYO,2246,26873,19612
HUACAYBAMBA,478,13976,9397
HUAMALIES,2708,43599,31576
HUANUCO,54165,159504,177169
LAURICOCHA,760,14182,11871
LEONCIO PRADO,22915,76464,80294
MARAÑON,1834,21963,15293
