Country,Elect,Gobierno,Particip,Liciv
 Norway,10,"9,64",10,"9,12"
 Taiwan,10,"9,64","7,78","9,41"
 Finland,10,"9,29","8,89","9,41"
 New Zealand,10,"8,93","9,44","9,71"
 Denmark,10,"8,93","8,33","8,82"
 Australia,10,"8,57","7,78","9,41"
 Uruguay,10,"8,57","7,22","9,71"
 Luxembourg,10,"8,57","6,67","9,41"
 Iceland,10,"8,21","8,89","9,41"
 Canada,10,"8,21","8,89","9,12"
 Ireland,10,"7,86","8,33","9,41"
 Sweden,"9,58","9,29","8,33","9,12"
  Switzerland,"9,58","8,93","7,78","8,82"
 Netherlands,"9,58","8,93","8,33","8,82"
 South Korea,"9,58","8,57","7,22","7,94"
 Germany,"9,58","8,21","8,33","9,12"
 Chile,"9,58","7,86","5,56","9,12"
 Estonia,"9,58","7,86","6,67","8,24"
 Belgium,"9,58","7,86",5,"8,24"
 Malaysia,"9,58","7,86","7,22","5,29"
 United Kingdom,"9,58","7,5","8,33","8,82"
 France,"9,58","7,5","7,78","8,24"
 Israel,"9,58","7,5",10,"5,88"
 Spain,"9,58","7,14","7,22","8,24"
 Portugal,"9,58","7,14","6,67","8,82"
 Trinidad and Tobago,"9,58","7,14","6,11","7,35"
 Austria,"9,58","6,79","8,89","8,24"
 Costa Rica,"9,58","6,43","7,78","9,71"
 Czech Republic,"9,58","6,43","6,67","8,53"
 Italy,"9,58","6,43","7,22","7,65"
 Slovenia,"9,58","6,43","7,22","8,24"
 Slovakia,"9,58","6,43","5,56","7,94"
 Greece,"9,58","6,07","6,11","8,53"
 Latvia,"9,58","6,07","6,11","8,53"
 Lithuania,"9,58","6,07","6,11","8,53"
 Panama,"9,58","6,07","7,22","7,65"
 Suriname,"9,58","6,07","6,11","7,35"
 East Timor,"9,58","5,93","5,56","7,35"
 Brazil,"9,58","5,36","6,11","7,65"
 Japan,"9,17","8,57","6,67","8,24"
 Mauritius,"9,17","7,86","6,11","8,53"
 Cape Verde,"9,17",7,"6,67","8,53"
 Botswana,"9,17","6,79","6,67","8,53"
 Malta,"9,17","6,79","5,56","8,24"
